# マップ（種類の）配置
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2
2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
2 1 1 1 1 1 1 1 1 2 2 1 1 1 1 2
2 1 1 1 1 1 1 1 2 2 2 1 1 1 1 2
2 1 1 1 1 1 1 1 2 2 1 1 1 1 1 2
2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
2 1 1 1 2 2 1 1 1 1 1 1 1 1 2 2
2 1 1 1 2 2 1 1 1 1 1 1 2 2 2 2
2 1 1 1 2 2 1 1 1 1 1 1 2 2 2 2
2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2
2 1 1 1 1 1 2 2 2 1 1 1 1 1 2 2
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
