# キャラなど物体の初期配置
# 配置イメージは下図
# ..........C....
# ..P............
# .......WWWW...C
# ...............
# ...W...........
# ...W....C......
# ...W...........
# .............C.
# ....C....WW....
# .........WW....
# ...C...........
# ..........C....
# ....WWWWWW.....
# .C.....C.......
# ............C..
#
# キャラ数が多くてデバッグしにくい
# と感じたら，少なくしてみても
# （小さくはじめる）よいと思います
# レポート提出時には数を戻してください
#
# キャラなど物体の配置情報の総数
15
# タイプ，座標(x,y)，速度or壁サイズ
1 480 2 150.0
1 672 96 150.0
1 384 240 150.0
1 624 336 150.0
1 192 384 150.0
1 144 480 150.0
1 480 528 150.0
1 48 624 150.0
1 336 624 150.0
1 576 672 150.0
2 336 96 192.048
2 432 384 96.096
2 192 576 288.048
2 144 192 48.144
0 96 48 250.0
